[1,"Формирование прав собственности","Да","институты","property rights creation","институциональные;дискретные;явные","Классика институциональной экономики"],
[2,"Закрепление прав собственности","Да","институты","property rights enforcement","институциональные;постепенные;явные","—"],
[3,"Эрозия прав собственности","Нет","институты","property rights erosion","институциональные;постепенные;латентные","—"],
[4,"Перераспределение прав собственности","Да","институты","property rights transfer","институциональные;дискретные;явные","—"],
[5,"Создание трансакционных правил","Да","институты","transaction rules","институциональные;дискретные;явные","Классика"],
[6,"Изменение трансакционных правил","Да","институты","rule change","институциональные;постепенные;явные","—"],
[7,"Неформальные правила поведения","Да","нормы","social norms","неформальные;постепенные;явные","Аналог в социологии"],
[8,"Трансформация обычаев","Да","нормы","customs evolution","неформальные;постепенные;явные","—"],
[9,"Институционализация традиций","Да","нормы","traditions institutionalization","институциональные;постепенные;явные","—"],
[10,"Разрушение традиций","Нет","нормы","tradition breakdown","неформальные;постепенные;латентные","—"],
[11,"Контрактное упорядочивание","Да","отношения","contract enforcement","институциональные;дискретные;явные","Классика"],
[12,"Формирование доверия","Да","отношения","trust formation","индивидуальные/коллективные;постепенные;явные","Аналог в поведенческой"],
[13,"Эрозия доверия","Нет","отношения","trust erosion","индивидуальные/коллективные;постепенные;латентные","—"],
[14,"Социальный капитал как институт","Да","отношения","social capital","коллективные;постепенные;явные","—"],
[15,"Неформальные сети влияния","Да","отношения","informal networks","неформальные;постепенные;латентные","Аналог в политэкономии"],
[16,"Институциональная изоморфность","Да","структура","isomorphism","коллективные;постепенные;явные","—"],
[17,"Регуляторный захват","Нет","институты","regulatory capture","институциональные;постепенные;латентные","Классика"],
[18,"Коррупционные практики","Нет","нормы","corruption practices","неформальные;постепенные;латентные","—"],
[19,"Антикоррупционные реформы","Да","нормы","anti-corruption reforms","институциональные;постепенные;явные","—"],
[20,"Эффективность судебной системы","Да","институты","judicial efficiency","институциональные;постепенные;явные","—"],
[21,"Эрозия судебной системы","Нет","институты","judicial erosion","институциональные;постепенные;латентные","—"],
[22,"Формирование правовых норм","Да","нормы","legal norms formation","институциональные;постепенные;явные","—"],
[23,"Изменение правовых норм","Да","нормы","legal norm change","институциональные;постепенные;явные","—"],
[24,"Разрушение правовых норм","Нет","нормы","legal norms breakdown","институциональные;постепенные;латентные","—"],
[25,"Институционализация новых организаций","Да","институты","organization creation","институциональные;дискретные;явные","Классика"],
[26,"Реформа старых организаций","Да","институты","organization reform","институциональные;постепенные;явные","—"],
[27,"Ликвидация организаций","Нет","институты","organization dissolution","институциональные;дискретные;латентные","—"],
[28,"Формирование политических институтов","Да","институты","political institution building","институциональные;постепенные;явные","—"],
[29,"Эрозия политических институтов","Нет","институты","political institution erosion","институциональные;постепенные;латентные","—"],
[30,"Создание экономических агентств","Да","институты","economic agency creation","институциональные;дискретные;явные","Современно уникален"],
[31,"Бюрократизация","Нет","структура","bureaucratization","институциональные;постепенные;латентные","—"],
[32,"Дебюрократизация","Да","структура","debureaucratization","институциональные;постепенные;явные","Современно уникален"],
[33,"Институциональная инерция","Нет","структура","institutional inertia","институциональные;постепенные;латентные","—"],
[34,"Институциональные шоки","Нет","структура","institutional shocks","экзогенные;дискретные;латентные","—"],
[35,"Переходные институты","Да","структура","transitional institutions","институциональные;постепенные;явные","—"],
[36,"Формирование правил собственности на ресурсы","Да","институты","resource rights","институциональные;дискретные;явные","—"],
[37,"Изменение ресурсных институтов","Да","институты","resource institution change","институциональные;постепенные;явные","—"],
[38,"Институциональные ограничения","Да","структура","institutional constraints","институциональные;постепенные;явные","—"],
[39,"Снятие институциональных ограничений","Да","структура","institutional relaxation","институциональные;постепенные;явные","—"],
[40,"Смена режимов собственности","Да","структура","ownership regimes shift","институциональные;дискретные;явные","—"],
[41,"Институционализация коллективных действий","Да","поведение","collective action institutionalization","коллективные;постепенные;явные","—"],
[42,"Снижение коллективных действий","Нет","поведение","collective action decline","коллективные;постепенные;латентные","—"],
[43,"Теория общественного выбора (public choice)","Да","принцип","public choice theory","индивидуальные/коллективные;постепенные;явные","Классика"],
[44,"Теория трансакционных издержек","Да","принцип","transaction cost theory","индивидуальные/коллективные;постепенные;явные","Классика"],
[45,"Теория прав собственности","Да","принцип","property rights theory","институциональные;постепенные;явные","Классика"],
[46,"Теория контрактов","Да","принцип","contract theory","институциональные;постепенные;явные","Классика"],
[47,"Теория агентских отношений","Да","принцип","agency theory","институциональные;постепенные;явные","Классика"],
[48,"Теория институциональной эволюции","Да","принцип","institutional evolution","коллективные;постепенные;явные","Современно уникален"],
[49,"Институциональные ловушки","Нет","структура","institutional traps","коллективные;постепенные;латентные","Классика"],
[50,"Эффективные институты","Да","структура","efficient institutions","коллективные;постепенные;явные","—"],
[51,"Неэффективные институты","Нет","структура","inefficient institutions","коллективные;постепенные;латентные","—"],
[52,"Эндогенное изменение институтов","Да","структура","endogenous institutional change","эндогенные;постепенные;явные","Современно уникален"],
[53,"Экзогенное давление на институты","Да","структура","exogenous shocks","экзогенные;дискретные;явные","—"],
[54,"Институциональная устойчивость","Да","структура","institutional resilience","коллективные;постепенные;явные","Современно уникален"],
[55,"Институциональная гибкость","Да","структура","institutional flexibility","коллективные;постепенные;явные","—"],
[56,"Институциональный коллапс","Нет","структура","institutional collapse","коллективные;дискретные;латентные","—"],
[57,"Сравнительный институционализм","Да","принцип","comparative institutionalism","коллективные;постепенные;явные","Современно уникален"],
[58,"Новые институциональные экономические теории","Да","принцип","new institutional economics","коллективные;постепенные;явные","—"],
[59,"Исторический институционализм","Да","принцип","historical institutionalism","коллективные;постепенные;явные","Современно уникален"],
[60,"Социологический институционализм","Да","принцип","sociological institutionalism","коллективные;постепенные;явные","Современно уникален"]
[61,"Политический институционализм","Да","принцип","political institutionalism","коллективные;постепенные;явные","Современно уникален"],
[62,"Культурный институционализм","Да","принцип","cultural institutionalism","коллективные;постепенные;явные","Современно уникален"],
[63,"Формирование рыночных институтов","Да","институты","market institutions creation","институциональные;дискретные;явные","Классика"],
[64,"Эрозия рыночных институтов","Нет","институты","market institutions erosion","институциональные;постепенные;латентные","—"],
[65,"Институционализация конкуренции","Да","структура","competition institutionalization","институциональные;постепенные;явные","—"],
[66,"Институциональные барьеры входа","Нет","структура","entry barriers","институциональные;постепенные;латентные","—"],
[67,"Институционализация инноваций","Да","структура","innovation institutions","институциональные;постепенные;явные","Современно уникален"],
[68,"Формирование контрактных систем","Да","институты","contracting systems","институциональные;постепенные;явные","—"],
[69,"Эволюция корпоративного управления","Да","структура","corporate governance evolution","институциональные;постепенные;явные","—"],
[70,"Эрозия корпоративного управления","Нет","структура","corporate governance erosion","институциональные;постепенные;латентные","—"],
[71,"Институционализация ответственности","Да","нормы","accountability institutionalization","институциональные;постепенные;явные","—"],
[72,"Институциональные механизмы подотчётности","Да","нормы","accountability mechanisms","институциональные;постепенные;явные","Современно уникален"],
[73,"Создание институтов регулирования","Да","институты","regulatory agencies","институциональные;дискретные;явные","—"],
[74,"Эволюция институтов регулирования","Да","институты","regulation evolution","институциональные;постепенные;явные","—"],
[75,"Регуляторные реформы","Да","нормы","regulatory reforms","институциональные;постепенные;явные","Современно уникален"],
[76,"Регуляторные провалы","Нет","нормы","regulatory failures","институциональные;постепенные;латентные","—"],
[77,"Институционализация международных организаций","Да","институты","international organizations","институциональные;постепенные;явные","Классика"],
[78,"Эрозия международных организаций","Нет","институты","international org. erosion","институциональные;постепенные;латентные","—"],
[79,"Санкционные режимы как институт","Да","нормы","sanctions regimes","экзогенные;дискретные;явные","Современно уникален"],
[80,"Институционализация глобальных норм","Да","нормы","global norms","институциональные;постепенные;явные","—"],
[81,"Нормативные изменения под давлением глобализации","Да","нормы","globalization-induced norm change","экзогенные;постепенные;явные","—"],
[82,"Институционализация стандартов","Да","нормы","standards institutionalization","институциональные;постепенные;явные","—"],
[83,"Эволюция стандартов","Да","нормы","standards evolution","институциональные;постепенные;явные","—"],
[84,"Формирование отраслевых ассоциаций","Да","институты","industry associations","институциональные;постепенные;явные","—"],
[85,"Эволюция отраслевых ассоциаций","Да","институты","association evolution","институциональные;постепенные;явные","—"],
[86,"Институционализация профессиональных сообществ","Да","институты","professional communities","институциональные;постепенные;явные","Современно уникален"],
[87,"Эрозия профессиональных сообществ","Нет","институты","professional communities erosion","институциональные;постепенные;латентные","—"],
[88,"Институционализация образовательных систем","Да","институты","education systems","институциональные;постепенные;явные","—"],
[89,"Реформы образовательных институтов","Да","институты","education reforms","институциональные;постепенные;явные","—"],
[90,"Эрозия образовательных институтов","Нет","институты","education erosion","институциональные;постепенные;латентные","—"],
[91,"Институционализация исследовательских институтов","Да","институты","research institutes","институциональные;постепенные;явные","—"],
[92,"Эволюция исследовательских институтов","Да","институты","research institutes evolution","институциональные;постепенные;явные","Современно уникален"],
[93,"Институционализация здравоохранения","Да","институты","healthcare institutions","институциональные;постепенные;явные","—"],
[94,"Эволюция здравоохранения","Да","институты","healthcare evolution","институциональные;постепенные;явные","—"],
[95,"Реформы здравоохранения","Да","институты","healthcare reforms","институциональные;постепенные;явные","Современно уникален"],
[96,"Эрозия здравоохранения","Нет","институты","healthcare erosion","институциональные;постепенные;латентные","—"],
[97,"Институционализация систем социальной защиты","Да","институты","social protection systems","институциональные;постепенные;явные","—"],
[98,"Эволюция систем социальной защиты","Да","институты","social protection evolution","институциональные;постепенные;явные","—"],
[99,"Реформы систем социальной защиты","Да","институты","social protection reforms","институциональные;постепенные;явные","Современно уникален"],
[100,"Эрозия систем социальной защиты","Нет","институты","social protection erosion","институциональные;постепенные;латентные","—"],
[101,"Институционализация пенсионных систем","Да","институты","pension systems","институциональные;постепенные;явные","Классика"],
[102,"Эволюция пенсионных систем","Да","институты","pension evolution","институциональные;постепенные;явные","—"],
[103,"Реформы пенсионных систем","Да","институты","pension reforms","институциональные;постепенные;явные","—"],
[104,"Кризисы пенсионных систем","Нет","институты","pension crises","институциональные;постепенные;латентные","—"],
[105,"Институционализация трудовых отношений","Да","институты","labor relations","институциональные;постепенные;явные","—"],
[106,"Эволюция трудовых отношений","Да","институты","labor relations evolution","институциональные;постепенные;явные","—"],
[107,"Реформы трудовых институтов","Да","институты","labor reforms","институциональные;постепенные;явные","Современно уникален"],
[108,"Эрозия трудовых институтов","Нет","институты","labor erosion","институциональные;постепенные;латентные","—"],
[109,"Институционализация семейных норм","Да","нормы","family norms","неформальные;постепенные;явные","Аналог в социологии"],
[110,"Эволюция семейных норм","Да","нормы","family norms evolution","неформальные;постепенные;явные","—"],
[111,"Разрушение семейных норм","Нет","нормы","family norms breakdown","неформальные;постепенные;латентные","—"],
[112,"Институционализация гендерных норм","Да","нормы","gender norms","институциональные;постепенные;явные","—"],
[113,"Эволюция гендерных норм","Да","нормы","gender norms evolution","институциональные;постепенные;явные","—"],
[114,"Реформы гендерных норм","Да","нормы","gender norms reforms","институциональные;постепенные;явные","Современно уникален"],
[115,"Эрозия гендерных норм","Нет","нормы","gender norms erosion","институциональные;постепенные;латентные","—"],
[116,"Институционализация прав человека","Да","нормы","human rights institutionalization","институциональные;постепенные;явные","Классика"],
[117,"Эволюция прав человека","Да","нормы","human rights evolution","институциональные;постепенные;явные","—"],
[118,"Реформы в области прав человека","Да","нормы","human rights reforms","институциональные;постепенные;явные","Современно уникален"],
[119,"Нарушение прав человека","Нет","нормы","human rights erosion","институциональные;постепенные;латентные","—"],
[120,"Институционализация экологических норм","Да","нормы","environmental norms","институциональные;постепенные;явные","Современно уникален"]
[121,"Эволюция экологических норм","Да","нормы","environmental norms evolution","институциональные;постепенные;явные","—"],
[122,"Реформы экологических норм","Да","нормы","environmental norms reforms","институциональные;постепенные;явные","Современно уникален"],
[123,"Нарушение экологических норм","Нет","нормы","environmental norms erosion","институциональные;постепенные;латентные","—"],
[124,"Институционализация финансовых рынков","Да","институты","financial market institutions","институциональные;постепенные;явные","Классика"],
[125,"Эволюция финансовых рынков","Да","институты","financial markets evolution","институциональные;постепенные;явные","—"],
[126,"Регуляторные реформы финансовых рынков","Да","институты","financial market reforms","институциональные;постепенные;явные","—"],
[127,"Кризисы финансовых институтов","Нет","институты","financial institutions crises","институциональные;дискретные;латентные","—"],
[128,"Институционализация центральных банков","Да","институты","central banks creation","институциональные;дискретные;явные","Классика"],
[129,"Эволюция центральных банков","Да","институты","central banks evolution","институциональные;постепенные;явные","—"],
[130,"Институциональные реформы центральных банков","Да","институты","central banks reforms","институциональные;постепенные;явные","Современно уникален"],
[131,"Эрозия центральных банков","Нет","институты","central banks erosion","институциональные;постепенные;латентные","—"],
[132,"Институционализация налоговых органов","Да","институты","tax authorities","институциональные;постепенные;явные","—"],
[133,"Эволюция налоговых систем","Да","институты","tax systems evolution","институциональные;постепенные;явные","—"],
[134,"Реформы налоговых систем","Да","институты","tax reforms","институциональные;постепенные;явные","Современно уникален"],
[135,"Эрозия налоговых институтов","Нет","институты","tax institutions erosion","институциональные;постепенные;латентные","—"],
[136,"Институционализация валютных систем","Да","институты","monetary systems","институциональные;постепенные;явные","Классика"],
[137,"Эволюция валютных систем","Да","институты","monetary systems evolution","институциональные;постепенные;явные","—"],
[138,"Реформы валютных систем","Да","институты","monetary systems reforms","институциональные;постепенные;явные","Современно уникален"],
[139,"Кризисы валютных систем","Нет","институты","monetary systems crises","институциональные;дискретные;латентные","—"],
[140,"Институционализация торговых правил","Да","институты","trade rules institutionalization","институциональные;постепенные;явные","—"],
[141,"Эволюция торговых правил","Да","институты","trade rules evolution","институциональные;постепенные;явные","—"],
[142,"Реформы торговых правил","Да","институты","trade rules reforms","институциональные;постепенные;явные","Современно уникален"],
[143,"Нарушения торговых правил","Нет","институты","trade rules erosion","институциональные;постепенные;латентные","—"],
[144,"Институционализация антимонопольного права","Да","нормы","antitrust law","институциональные;постепенные;явные","Классика"],
[145,"Эволюция антимонопольных норм","Да","нормы","antitrust evolution","институциональные;постепенные;явные","—"],
[146,"Реформы антимонопольного законодательства","Да","нормы","antitrust reforms","институциональные;постепенные;явные","Современно уникален"],
[147,"Нарушения антимонопольного права","Нет","нормы","antitrust erosion","институциональные;постепенные;латентные","—"],
[148,"Институционализация защиты конкуренции","Да","нормы","competition protection","институциональные;постепенные;явные","—"],
[149,"Эволюция защиты конкуренции","Да","нормы","competition protection evolution","институциональные;постепенные;явные","—"],
[150,"Реформы защиты конкуренции","Да","нормы","competition protection reforms","институциональные;постепенные;явные","Современно уникален"],
[151,"Нарушение защиты конкуренции","Нет","нормы","competition protection erosion","институциональные;постепенные;латентные","—"],
[152,"Институционализация прав на труд","Да","нормы","labor rights institutionalization","институциональные;постепенные;явные","Классика"],
[153,"Эволюция трудовых прав","Да","нормы","labor rights evolution","институциональные;постепенные;явные","—"],
[154,"Реформы трудовых прав","Да","нормы","labor rights reforms","институциональные;постепенные;явные","Современно уникален"],
[155,"Нарушения трудовых прав","Нет","нормы","labor rights erosion","институциональные;постепенные;латентные","—"],
[156,"Институционализация прав на собственность","Да","нормы","property rights institutionalization","институциональные;постепенные;явные","—"],
[157,"Эволюция защиты прав собственности","Да","нормы","property rights protection evolution","институциональные;постепенные;явные","—"],
[158,"Реформы защиты прав собственности","Да","нормы","property rights reforms","институциональные;постепенные;явные","Современно уникален"],
[159,"Нарушения прав собственности","Нет","нормы","property rights erosion","институциональные;постепенные;латентные","—"],
[160,"Институционализация защиты прав потребителей","Да","нормы","consumer rights institutionalization","институциональные;постепенные;явные","Современно уникален"],
[161,"Эволюция защиты прав потребителей","Да","нормы","consumer rights evolution","институциональные;постепенные;явные","—"],
[162,"Реформы защиты прав потребителей","Да","нормы","consumer rights reforms","институциональные;постепенные;явные","—"],
[163,"Нарушения прав потребителей","Нет","нормы","consumer rights erosion","институциональные;постепенные;латентные","—"],
[164,"Институционализация экологической политики","Да","институты","environmental policy","институциональные;постепенные;явные","Современно уникален"],
[165,"Эволюция экологической политики","Да","институты","environmental policy evolution","институциональные;постепенные;явные","—"],
[166,"Реформы экологической политики","Да","институты","environmental policy reforms","институциональные;постепенные;явные","—"],
[167,"Кризисы экологической политики","Нет","институты","environmental policy crises","институциональные;дискретные;латентные","—"],
[168,"Институционализация инновационной политики","Да","институты","innovation policy","институциональные;постепенные;явные","Современно уникален"],
[169,"Эволюция инновационной политики","Да","институты","innovation policy evolution","институциональные;постепенные;явные","—"],
[170,"Реформы инновационной политики","Да","институты","innovation policy reforms","институциональные;постепенные;явные","—"],
[171,"Институциональные сбои инновационной политики","Нет","институты","innovation policy failures","институциональные;постепенные;латентные","—"],
[172,"Институционализация цифровой политики","Да","институты","digital policy","институциональные;постепенные;явные","Современно уникален"],
[173,"Эволюция цифровой политики","Да","институты","digital policy evolution","институциональные;постепенные;явные","—"],
[174,"Реформы цифровой политики","Да","институты","digital policy reforms","институциональные;постепенные;явные","—"],
[175,"Нарушение цифровой политики","Нет","институты","digital policy erosion","институциональные;постепенные;латентные","—"],
[176,"Институционализация культурной политики","Да","институты","cultural policy","институциональные;постепенные;явные","—"],
[177,"Эволюция культурной политики","Да","институты","cultural policy evolution","институциональные;постепенные;явные","Современно уникален"],
[178,"Реформы культурной политики","Да","институты","cultural policy reforms","институциональные;постепенные;явные","—"],
[179,"Кризисы культурной политики","Нет","институты","cultural policy crises","институциональные;дискретные;латентные","—"],
[180,"Институционализация миграционной политики","Да","институты","migration policy","институциональные;постепенные;явные","Современно уникален"]
[181,"Эволюция миграционной политики","Да","институты","migration policy evolution","институциональные;постепенные;явные","—"],
[182,"Реформы миграционной политики","Да","институты","migration policy reforms","институциональные;постепенные;явные","Современно уникален"],
[183,"Кризисы миграционной политики","Нет","институты","migration policy crises","институциональные;дискретные;латентные","—"],
[184,"Институционализация региональной политики","Да","институты","regional policy","институциональные;постепенные;явные","—"],
[185,"Эволюция региональной политики","Да","институты","regional policy evolution","институциональные;постепенные;явные","—"],
[186,"Реформы региональной политики","Да","институты","regional policy reforms","институциональные;постепенные;явные","Современно уникален"],
[187,"Кризисы региональной политики","Нет","институты","regional policy crises","институциональные;дискретные;латентные","—"],
[188,"Институционализация аграрной политики","Да","институты","agrarian policy","институциональные;постепенные;явные","Классика"],
[189,"Эволюция аграрной политики","Да","институты","agrarian policy evolution","институциональные;постепенные;явные","—"],
[190,"Реформы аграрной политики","Да","институты","agrarian policy reforms","институциональные;постепенные;явные","—"],
[191,"Кризисы аграрной политики","Нет","институты","agrarian policy crises","институциональные;дискретные;латентные","—"],
[192,"Институционализация промышленной политики","Да","институты","industrial policy","институциональные;постепенные;явные","Классика"],
[193,"Эволюция промышленной политики","Да","институты","industrial policy evolution","институциональные;постепенные;явные","—"],
[194,"Реформы промышленной политики","Да","институты","industrial policy reforms","институциональные;постепенные;явные","Современно уникален"],
[195,"Кризисы промышленной политики","Нет","институты","industrial policy crises","институциональные;дискретные;латентные","—"],
[196,"Институционализация энергетической политики","Да","институты","energy policy","институциональные;постепенные;явные","Классика"],
[197,"Эволюция энергетической политики","Да","институты","energy policy evolution","институциональные;постепенные;явные","—"],
[198,"Реформы энергетической политики","Да","институты","energy policy reforms","институциональные;постепенные;явные","—"],
[199,"Кризисы энергетической политики","Нет","институты","energy policy crises","институциональные;дискретные;латентные","—"],
[200,"Институционализация транспортной политики","Да","институты","transport policy","институциональные;постепенные;явные","—"],
[201,"Эволюция транспортной политики","Да","институты","transport policy evolution","институциональные;постепенные;явные","—"],
[202,"Реформы транспортной политики","Да","институты","transport policy reforms","институциональные;постепенные;явные","Современно уникален"],
[203,"Кризисы транспортной политики","Нет","институты","transport policy crises","институциональные;дискретные;латентные","—"],
[204,"Институционализация инфраструктурной политики","Да","институты","infrastructure policy","институциональные;постепенные;явные","Современно уникален"],
[205,"Эволюция инфраструктурной политики","Да","институты","infrastructure policy evolution","институциональные;постепенные;явные","—"],
[206,"Реформы инфраструктурной политики","Да","институты","infrastructure policy reforms","институциональные;постепенные;явные","—"],
[207,"Кризисы инфраструктурной политики","Нет","институты","infrastructure policy crises","институциональные;дискретные;латентные","—"],
[208,"Институционализация инновационных кластеров","Да","структура","innovation clusters","институциональные;постепенные;явные","Современно уникален"],
[209,"Эволюция инновационных кластеров","Да","структура","innovation clusters evolution","институциональные;постепенные;явные","—"],
[210,"Реформы инновационных кластеров","Да","структура","innovation clusters reforms","институциональные;постепенные;явные","—"],
[211,"Упадок инновационных кластеров","Нет","структура","innovation clusters decline","институциональные;постепенные;латентные","—"],
[212,"Институционализация венчурного финансирования","Да","структура","venture capital","институциональные;постепенные;явные","Современно уникален"],
